R.U.N. del Fondo,Nombre Fondo Inversión,Tipo de Fondo de Inversión,R.U.T. Administradora,Fecha Resolución de aprobación del reglamento interno del fondo,Fecha Inicio Operaciones
9275-4,COMPASS GLOBAL INVESTMENTS II FONDO DE INVERSION,No Rescatable,96804330-7,18/12/2015,24/05/2016
9308-4,COMPASS GLOBAL INVESTMENTS III FONDO DE INVERSION,No Rescatable,96804330-7,24/03/2016,12/5/2016
9311-4,COMPASS LATAM HIGH YIELD FONDO DE INVERSION,No Rescatable,96804330-7,6/4/2016,27/04/2016
9621-0,COMPASS LCP IX PRIVATE EQUITY FONDO DE INVERSION,No Rescatable,96804330-7,14/06/2018,
9175-8,COMPASS MÉXICO I FONDO DE INVERSION,No Rescatable,96804330-7,2/5/2015,30/04/2015
9601-6,COMPASS PCLO PRIVATE DEBT FONDO DE INVERSION,No Rescatable,96804330-7,4/4/2018,29/05/2018
9634-2,COMPASS PCRED PRIVATE DEBT FONDO DE INVERSION,No Rescatable,96804330-7,11/7/2018,30/01/2019
9482-K,COMPASS PRIVATE ALTERNATIVE PROGRAM FONDO DE INVERSION,No Rescatable,96804330-7,13/07/2017,25/08/2017
9324-6,COMPASS PRIVATE DEBT II FONDO DE INVERSION,No Rescatable,96804330-7,17/05/2016,20/09/2016
9479-K,COMPASS PRIVATE DEBT III FONDO DE INVERSIÓN,No Rescatable,96804330-7,30/06/2017,24/04/2018
7251-6,COMPASS PRIVATE EQUITY III FONDO DE INVERSION,No Rescatable,96804330-7,23/07/2012,4/4/2013
7260-5,COMPASS PRIVATE EQUITY IV FONDO DE INVERSION,No Rescatable,96804330-7,26/11/2012,19/06/2013
7269-9,COMPASS PRIVATE EQUITY V FONDO DE INVERSION,No Rescatable,96804330-7,28/05/2013,19/12/2013
7281-8,COMPASS PRIVATE EQUITY VII FONDO DE INVERSION,No Rescatable,96804330-7,23/10/2013,6/1/2015
9081-6,COMPASS PRIVATE EQUITY X FONDO DE INVERSIÓN,No Rescatable,96804330-7,4/10/2014,29/05/2015
9115-4,COMPASS PRIVATE EQUITY XI FONDO DE INVERSIÓN,No Rescatable,96804330-7,30/12/2014,2/3/2015
9167-7,COMPASS PRIVATE EQUITY XII FONDO DE INVERSION,No Rescatable,96804330-7,15/04/2015,8/10/2015
9257-6,COMPASS PRIVATE EQUITY XIII FONDO DE INVERSION,No Rescatable,96804330-7,12/11/2015,23/06/2016
9288-6,COMPASS PRIVATE EQUITY XIV FONDO DE INVERSION,No Rescatable,96804330-7,21/01/2016,12/6/2017
9307-6,COMPASS PRIVATE EQUITY XV FONDO DE INVERSION,No Rescatable,96804330-7,24/03/2016,18/05/2017
9357-2,COMPASS PRIVATE EQUITY XVI FONDO DE INVERSION,No Rescatable,96804330-7,2/8/2016,6/4/2018
9416-1,COMPASS PRIVATE EQUITY XVII FONDO DE INVERSION,No Rescatable,96804330-7,5/1/2017,8/3/2017
9435-8,COMPASS PRIVATE EQUITY XVIII FONDO DE INVERSIÓN,No Rescatable,96804330-7,22/03/2017,22/08/2017
7031-9,COMPASS SMALL CAP CHILE FONDO DE INVERSION,No Rescatable,96804330-7,22/08/1996,9/9/1996
9681-4,COMPASS SP VIII PRIVATE EQUITY FONDO DE INVERSION,No Rescatable,96804330-7,10/11/2018,3/5/2019
