,Fecha Inicio Operaciones,Fecha Resolución de aprobación del reglamento interno del fondo,Nombre Fondo Inversión,R.U.N. del Fondo,R.U.T. Administradora,Tipo de Fondo de Inversión
334,28/04/2016,05/09/2015,PRINCIPAL REAL ESTATE USA FONDO DE INVERSION,9229-0,91999000-7,No Rescatable
335,22/12/2016,15/12/2016,PRIVATE EQUITY I FONDO DE INVERSIÓN,9409-9,76503273-3,No Rescatable
336,22/12/2016,15/12/2016,PRIVATE EQUITY II FONDO DE INVERSIÓN,9410-2,76503273-3,No Rescatable
337,05/05/1995,20/03/1995,SIGLO XXI FONDO DE INVERSION,7015-7,96514410-2,No Rescatable
338,28/06/2017,15/03/2017,TAM ACPI PRIVATE DEBT FONDO DE INVERSION,9434-K,76620928-9,No Rescatable
339,12/11/2018,12/10/2018,TAM ACPI PRIVATE DEBT II FONDO DE INVERSIÓN,9668-7,76620928-9,No Rescatable
340,02/11/2017,04/10/2017,TOESCA CRÉDITOS CORTO PLAZO FONDO DE INVERSIÓN,9523-0,96576660-k,No Rescatable
341,03/07/2018,07/06/2018,TOESCA DEUDA PRIVADA FONDO DE INVERSION,9619-9,96576660-k,No Rescatable
342,10/03/2017,03/03/2017,TOESCA INFRAESTRUCTURA FONDO DE INVERSION,9427-7,96576660-k,No Rescatable
343,27/03/2018,02/02/2018,TOESCA INFRAESTRUCTURA GV FONDO DE INVERSION,9580-K,96576660-k,No Rescatable
344,,02/04/2019,TOESCA INFRAESTRUCTURA SC FONDO DE INVERSION,9735-7,96576660-k,No Rescatable
345,02/01/2019,17/11/2018,TOESCA RENTAS INMOBILIARIAS APOQUINDO FONDO DE INVERSIÓN,9686-5,96576660-k,No Rescatable
346,02/06/2017,11/05/2017,TOESCA RENTAS INMOBILIARIAS FONDO DE INVERSION,9452-8,96576660-k,No Rescatable
347,16/11/2017,01/08/2017,TOESCA RENTAS INMOBILIARIAS PT FONDO DE INVERSION,9488-9,96576660-k,No Rescatable
348,06/09/2017,24/08/2017,TOESCA SMALL CAP CHILE FONDO DE INVERSION,9505-2,96576660-k,No Rescatable
